time,acc-x,acc-y,acc-y,att-x,att-y,att-z,gyr-x,gyr-y,gyr-z,latitude,logitude,heading
209.1505950093269,0.000670576,0.001044841,-0.01947501,0.1051815,-1.509929,0.03595858,0.01450627,-0.001837273,0.003519343,44.81262,20.43302,350.5917
554.960292994976,-0.001240075,-0.02222455,-0.01567346,0.1969572,-2.242005,0.03162659,0.01235941,-0.002993864,-0.002050048,44.81433,20.44006,352.5917
987.9977689981461,-0.02472294,0.02182927,-0.01727358,0.02376937,-1.873762,0.01955698,0.0237283,0.005215704,0.009666012,44.81344,20.45823,348.5917
704.6357179880142,0.005127943,0.05304731,-0.05099428,0.09926126,-2.138739,0.01783371,0.01619961,0.04528383,-0.003257608,44.81497,20.45034,349.5917
435.740177989006,0.006762634,0.001379585,-0.01424951,0.09547292,-2.410748,0.01785576,0.006270766,-0.006204783,-0.003584934,44.81441,20.4365,352.5917
1393.361346006393,0.0201015,0.02925646,-0.005719788,0.09800152,2.549862,-0.008561265,-0.01245048,-0.02243872,-0.01939656,44.81832,20.45965,223.0893
175.2259780168533,-0.003864652,0.006722607,-0.006988427,0.1068863,-1.571338,0.03837955,-0.0004712707,-0.0005093853,0.0001818621,44.81262,20.43302,349.5917
261.0471599698067,-0.0004228372,0.002882023,-0.0187642,0.1093774,-1.44145,0.01927701,-0.004511109,-0.01943937,0.00488436,44.81293,20.43334,348.5917
593.957093000412,-0.001286051,-0.02304743,-0.0132645,0.1942516,-2.221474,0.03559322,0.005824398,-0.01009539,0.0115837,44.81453,20.44263,356.5917
19.86517697572708,0.006370968,-0.007034135,-0.009975357,0.1344534,-0.1617436,0.02238208,0.04879549,-0.0175112,-0.01232941,44.8368,20.31816,1.474915
1026.751287996769,0.003939574,-0.004773093,-0.01029578,0.1118848,-1.868968,0.03459843,0.01548544,-0.03551215,-0.002970949,44.81344,20.45823,359.5917
749.3520519733429,0.002207368,-0.01603488,-0.01595211,0.1248532,-2.12986,0.04049246,-0.01021763,-0.01244853,0.005791342,44.81505,20.45174,356.5917
488.4352459907532,0.003055221,0.003288909,-0.01308848,0.1111224,-2.345719,0.02855788,-0.009008359,0.01682214,0.004882313,44.81448,20.43817,355.5917
131.4638919830322,-0.001254487,-0.007095515,0.0008967484,0.09434749,-1.671548,0.04945286,-0.05921436,-0.01363233,-0.005673315,44.81202,20.4324,348.5917
289.8784400224686,-0.006761108,0.02892349,-0.1139075,0.1446465,-1.402308,0.0239816,-0.0007111928,-0.07400775,0.01636076,44.81361,20.43375,350.5917
635.4368010163307,0.0004875197,-0.01935628,-0.04297798,0.1960233,-2.195471,0.02817772,0.03017373,0.0430032,-0.009507427,44.81467,20.44496,354.5917
1162.994157016277,-0.009659347,0.001070602,-0.00570473,-0.00451413,-0.03029098,-0.02223358,0.01683017,0.1197704,0.02389301,44.81294,20.46032,333.0893
1059.044955968857,0.008309192,0.04878215,0.0750459,0.134299,-1.073953,0.05484928,0.09291225,-0.03086775,0.4011046,44.81344,20.45823,348.5917
776.5339660048485,-0.008240963,-0.02195105,-0.01122596,0.1482076,-2.128586,0.02735835,0.005377557,0.02451603,-0.02259403,44.81501,20.45214,357.5917
85.29645198583603,0.003701214,0.006179734,-0.006762257,0.1080439,-1.77267,0.0228623,0.002886034,0.0116611,-0.002701917,44.80917,20.43088,349.5917
325.7881770133972,0.001636644,-0.004760978,-0.01887188,0.07967388,-1.32739,0.02205571,-0.007864023,-0.006431724,0.006214449,44.81404,20.43423,352.5917
1215.645509004593,0.05991773,0.01608433,-0.07276517,0.006623926,-0.1940931,0.03090818,0.03092319,-0.07841611,-0.1152058,44.81623,20.46239,338.0893
1089.945550978184,-0.01669844,0.001555403,-0.01112028,0.04953403,-0.06397144,-0.1865283,0.03666087,0.02993643,0.05452809,44.81488,20.46281,330.5917
823.3948649764061,0.007462121,-0.01163715,-0.02399221,0.1095996,-2.264452,-0.01126837,0.009102171,-0.003707051,0.0002467363,44.81472,20.45528,357.5917
43.94710099697113,0.01196529,-0.01478719,0.01352526,0.2273863,-1.856701,0.03098182,-0.01238146,0.01280148,-0.007129646,44.8368,20.31816,354.5917
370.5363619923592,-0.008515414,-0.01023143,-0.02192974,0.1442755,-1.21435,-0.01598915,-0.04170131,-0.006296187,0.008664739,44.81437,20.43452,347.5917
1259.47620600462,0.08889685,0.05087242,-0.1244538,0.0775615,-0.09673972,0.1162731,0.05544063,-0.0798039,0.08220831,44.81687,20.46243,337.0893
1143.235453009605,-0.002366788,0.002371019,-0.01454876,0.002706716,-0.1311608,-0.02545283,0.01132282,0.04464772,-0.02601017,44.81493,20.46267,334.0893
870.7066149711609,0.002749887,0.02174023,-0.01876377,0.1775948,-2.244455,0.00532957,-0.009042342,0.009428223,0.004374888,44.81423,20.45547,357.5917
1277.786837995052,0.0243177,0.02996179,-0.04592869,-0.063908,0.6745307,0.04033549,-0.002489544,0.04268959,-0.004980006,44.81746,20.46176,318.0893
394.6627179980278,0.01528765,0.04005923,-0.02802278,0.08606387,-2.432403,0.005362107,0.01638752,0.002844072,0.002986848,44.81441,20.4354,352.5917
897.9231449961662,0.04399449,0.03475413,-0.04243084,0.09408171,-2.157374,0.06958938,0.03232907,0.05112815,0.02282933,44.81353,20.45658,359.5917
1317.838779985905,0.1065301,0.003304095,0.09495203,-0.04660902,0.9017151,0.06861654,-0.2035041,-0.06517759,-0.1101972,44.81784,20.46121,325.0893
943.8294299840927,3.69023e-05,-0.002035781,-0.02047669,0.07308725,-1.964345,-2.170145e-05,-0.004331556,-0.01150347,0.01010471,44.81344,20.45823,356.5917
668.3961610198021,0.00868226,0.0006741741,-0.02227215,0.1284533,-2.152948,0.04392447,-0.00064361,0.01292004,-0.003527985,44.81483,20.44768,349.5917
1361.022440969944,-0.00810885,-0.006298734,-0.01441647,0.0195509,2.577265,-0.0659108,-0.007456353,-0.02988564,-0.02433755,44.81826,20.46002,210.0893
207.8048809766769,0.002539597,0.004500416,-0.009617319,0.1048665,-1.512072,0.03888248,-0.00504661,0.00914553,0.003229256,44.81262,20.43302,350.5917
556.2993990182877,0.01403205,0.1528853,-0.0509927,0.1932398,-2.244987,0.03784392,-0.0691772,0.04048011,-0.01860028,44.81433,20.44009,352.5917
989.0258769989014,0.02423986,-0.007872339,-0.01279389,0.018618,-1.870176,-0.009730591,-0.01613201,0.04654199,0.03309617,44.81344,20.45823,348.5917
705.9838979840279,0.02839386,-0.07511746,0.124979,0.09229562,-2.127608,0.02622515,-0.02848629,-0.1666961,0.008286989,44.81498,20.45062,349.5917
438.7835720181465,-0.001548131,0.001069862,-0.0251842,0.09497786,-2.412881,0.0184475,-0.004562074,0.006506281,-0.003006805,44.81441,20.4365,353.5917
1395.045226991177,0.01497451,0.01066641,-0.01484281,0.02472227,2.553813,0.03393153,-0.01800279,-0.007817637,0.03142701,44.81832,20.45965,223.0893
